?foreCast	?temperature	?description
<http://xmlns.com/weather/0.1/1487246400>	"286.6700134277344"	"clear sky"
<http://xmlns.com/weather/0.1/1487246400>	"34.4"	"clear sky"
<http://xmlns.com/weather/0.1/1487332800>	"278.25299072265625"	"light rain"
<http://xmlns.com/weather/0.1/1487527200>	"272.4590148925781"	"clear sky"
<http://xmlns.com/weather/0.1/1487613600>	"274.4429931640625"	"few clouds"
<http://xmlns.com/weather/0.1/1487354400>	"275.6390075683594"	"light rain"
<http://xmlns.com/weather/0.1/1487538000>	"269.4729919433594"	"clear sky"
<http://xmlns.com/weather/0.1/1487376000>	"275.0350036621094"	"light rain"
<http://xmlns.com/weather/0.1/1487278800>	"272.7799987792969"	"clear sky"
<http://xmlns.com/weather/0.1/1487365200>	"275.4590148925781"	"light rain"
